OrderID,CustomerID,OrderDate,OrderStatus,PaymentMethod,ShippingCost
O001,C001,2019-02-01,Completed,Cash,5.00
O002,C002,03/15/2019,Pendng,Card,0
O003,C005,2018-11-05,Cancelled,CHECK,$3.50
O004,C010,2017-04-01,Completed,Cash,4
O005,C020,2018-07-22,completed,Card,0
O006,C015,2020-05-10,Pending,,5
O007,C030,,Completed,Cash,
O008,C035,2019/06/07,Pending,Goat,0
O009,C001,2019-03-15,Completed,Card,2
O010,C007,2018-01-14,Cancelled,Check,1.50
O011,C012,2018-12-01,Completed,Cash,3.25
O012,C019,2019-02-03,Pending,Card,
O013,C025,2019-09-01,,Cash,0
O014,C018,2018-07-07,Completed,CARD,5
O015,C008,1998-06-26,Pending,Cash,0
O016,C011,2001-04-04,Cancelled,CHECK,$0.00
O017,C006,2016-09-09,Completed,Card,2.50
O018,C004,2018-04-31,Pendng,Cash,
O019,C009,1997-01-01,Completed,CARD,3
O020,C022,2017-01-03,Pending,Check,$0.00
O021,C003,2018-11-05,Completed,Card,2
O022,C014,2000-11-05,Cancelled,Cash,5.25
O023,C013,2019-10-10,Completed,,1
O024,C021,2016-09-01,Completed,Cash,0
O025,C023,2017-02-15,Pendng,Card,4.50
O026,C024,2017-06-18,Completed,Cash,
O027,C016,2021-05-01,Pending,Card,3
O028,C017,2018-07-07,Cancelled,CHECK,0
O029,C026,18-07-2018,Completed,Cash,2.75
O030,C027,2020-10-10,Pending,CARD,
O031,C028,2018-01-01,Completed,Card,0
O032,C029,2018-10-11,Completed,Cash,1.25
O033,C030,2019-03-01,Pending,,0
O034,C031,2022-01-01,Completed,CARD,3
O035,C032,2020-02-20,Cancelled,Card,5.50
O036,C033,2017-07-07,Completed,Cash,2.25
O037,C034,2019-06-06,Pending,Check,0
O038,C035,2019/06/07,Completed,Cash,1
O039,C036,2012-01-01,Completed,CARD,0
O040,C037,2014-11-22,Pending,Cash,4.50
O041,C038,2003-01-01,Completed,Card,3.25
O042,C039,2003-01-01,Completed,CASH,0
O043,C040,1000-13-01,Pendng,Cash,0
